ApplicableEntity,PredefinedType,PsetName
IfcFooting,,Qto_FootingBaseQuantities
IfcFootingType,,Qto_FootingBaseQuantities
IfcGeotechnicalStratum,,Qto_ArealStratumBaseQuantities
IfcGeotechnicalStratum,,Qto_LinearStratumBaseQuantities
IfcGeotechnicalStratum,,Qto_VolumetricStratumBaseQuantities
IfcHeatExchanger,,Qto_HeatExchangerBaseQuantities
IfcHeatExchangerType,,Qto_HeatExchangerBaseQuantities
IfcHumidifier,,Qto_HumidifierBaseQuantities
IfcHumidifierType,,Qto_HumidifierBaseQuantities
IfcImpactProtectionDevice,,Qto_ImpactProtectionDeviceBaseQuantities
IfcImpactProtectionDeviceType,,Qto_ImpactProtectionDeviceBaseQuantities
IfcInterceptor,,Qto_InterceptorBaseQuantities
IfcInterceptorType,,Qto_InterceptorBaseQuantities
IfcJunctionBox,,Qto_JunctionBoxBaseQuantities
IfcJunctionBoxType,,Qto_JunctionBoxBaseQuantities
IfcKerb,,Qto_KerbBaseQuantities
IfcKerbType,,Qto_KerbBaseQuantities
IfcLaborResource,,Qto_LaborResourceBaseQuantities
IfcLaborResourceType,,Qto_LaborResourceBaseQuantities
IfcLamp,,Qto_LampBaseQuantities
IfcLampType,,Qto_LampBaseQuantities
IfcLightFixture,,Qto_LightFixtureBaseQuantities
IfcLightFixtureType,,Qto_LightFixtureBaseQuantities
IfcMarineFacility,,Qto_MarineFacilityBaseQuantities
IfcMember,,Qto_MemberBaseQuantities
IfcMemberType,,Qto_MemberBaseQuantities
IfcMotorConnection,,Qto_MotorConnectionBaseQuantities
IfcMotorConnectionType,,Qto_MotorConnectionBaseQuantities
IfcOpeningElement,,Qto_OpeningElementBaseQuantities
IfcOutlet,,Qto_OutletBaseQuantities
IfcOutletType,,Qto_OutletBaseQuantities
IfcPavement,,Qto_PavementBaseQuantities
IfcPavementType,,Qto_PavementBaseQuantities
IfcPile,,Qto_PileBaseQuantities
IfcPileType,,Qto_PileBaseQuantities
IfcPipeFitting,,Qto_PipeFittingBaseQuantities
IfcPipeFittingType,,Qto_PipeFittingBaseQuantities
IfcPipeSegment,,Qto_PipeSegmentBaseQuantities
IfcPipeSegmentType,,Qto_PipeSegmentBaseQuantities
IfcPlate,,Qto_PlateBaseQuantities
IfcPlateType,,Qto_PlateBaseQuantities
IfcProduct,,Qto_BodyGeometryValidation
IfcProjectionElement,,Qto_ProjectionElementBaseQuantities
IfcProtectiveDevice,,Qto_ProtectiveDeviceBaseQuantities
IfcProtectiveDeviceType,,Qto_ProtectiveDeviceBaseQuantities
IfcProtectiveDeviceTrippingUnit,,Qto_ProtectiveDeviceTrippingUnitBaseQuantities
IfcProtectiveDeviceTrippingUnitType,,Qto_ProtectiveDeviceTrippingUnitBaseQuantities
IfcPump,,Qto_PumpBaseQuantities
IfcPumpType,,Qto_PumpBaseQuantities
IfcRailing,,Qto_RailingBaseQuantities
IfcRailingType,,Qto_RailingBaseQuantities
IfcRail,,Qto_RailBaseQuantities
IfcRailType,,Qto_RailBaseQuantities
IfcRampFlight,,Qto_RampFlightBaseQuantities
IfcRampFlightType,,Qto_RampFlightBaseQuantities
IfcReinforcedSoil,,Qto_ReinforcedSoilBaseQuantities
IfcReinforcingElement,,Qto_ReinforcingElementBaseQuantities
IfcReinforcingElementType,,Qto_ReinforcingElementBaseQuantities
IfcRoof,,Qto_RoofBaseQuantities
IfcRoofType,,Qto_RoofBaseQuantities
IfcSanitaryTerminal,,Qto_SanitaryTerminalBaseQuantities
IfcSanitaryTerminalType,,Qto_SanitaryTerminalBaseQuantities
IfcSensor,,Qto_SensorBaseQuantities
IfcSensorType,,Qto_SensorBaseQuantities
IfcSignal,,Qto_SignalBaseQuantities
IfcSignalType,,Qto_SignalBaseQuantities
IfcSign,,Qto_SignBaseQuantities
IfcSignType,,Qto_SignBaseQuantities
IfcSign,PICTORAL,Qto_PictorialSignQuantities
IfcSignType,PICTORAL,Qto_PictorialSignQuantities
IfcSite,,Qto_SiteBaseQuantities
IfcSlab,,Qto_SlabBaseQuantities
IfcSlabType,,Qto_SlabBaseQuantities
IfcSolarDevice,,Qto_SolarDeviceBaseQuantities
IfcSolarDeviceType,,Qto_SolarDeviceBaseQuantities
IfcSpaceHeater,,Qto_SpaceHeaterBaseQuantities
IfcSpaceHeaterType,,Qto_SpaceHeaterBaseQuantities
IfcSpace,,Qto_SpaceBaseQuantities
IfcSpaceType,,Qto_SpaceBaseQuantities
IfcSpatialZone,,Qto_SpatialZoneBaseQuantities
IfcSpatialZoneType,,Qto_SpatialZoneBaseQuantities
IfcStackTerminal,,Qto_StackTerminalBaseQuantities
IfcStackTerminalType,,Qto_StackTerminalBaseQuantities
IfcStairFlight,,Qto_StairFlightBaseQuantities
IfcStairFlightType,,Qto_StairFlightBaseQuantities
IfcSurfaceFeature,,Qto_SurfaceFeatureBaseQuantities
IfcSwitchingDevice,,Qto_SwitchingDeviceBaseQuantities
IfcSwitchingDeviceType,,Qto_SwitchingDeviceBaseQuantities
IfcTank,,Qto_TankBaseQuantities
IfcTankType,,Qto_TankBaseQuantities
IfcTrackElement,SLEEPER,Qto_SleeperBaseQuantities
IfcTrackElementType,SLEEPER,Qto_SleeperBaseQuantities
IfcTransformer,,Qto_TransformerBaseQuantities
IfcTransformerType,,Qto_TransformerBaseQuantities
IfcVehicle,ROLLINGSTOCK,Qto_VehicleBaseQuantities
IfcVehicle,VEHICLEAIR,Qto_VehicleBaseQuantities
IfcVehicle,VEHICLEMARINE,Qto_VehicleBaseQuantities
IfcVehicle,VEHICLE,Qto_VehicleBaseQuantities
IfcVehicle,VEHICLETRACKED,Qto_VehicleBaseQuantities
IfcVehicleType,ROLLINGSTOCK,Qto_VehicleBaseQuantities
IfcVehicleType,VEHICLEAIR,Qto_VehicleBaseQuantities
IfcVehicleType,VEHICLEMARINE,Qto_VehicleBaseQuantities
IfcVehicleType,VEHICLE,Qto_VehicleBaseQuantities
IfcVehicleType,VEHICLETRACKED,Qto_VehicleBaseQuantities
IfcTubeBundle,,Qto_TubeBundleBaseQuantities
IfcTubeBundleType,,Qto_TubeBundleBaseQuantities
IfcUnitaryControlElement,,Qto_UnitaryControlElementBaseQuantities
IfcUnitaryControlElementType,,Qto_UnitaryControlElementBaseQuantities
IfcUnitaryEquipment,,Qto_UnitaryEquipmentBaseQuantities
IfcUnitaryEquipmentType,,Qto_UnitaryEquipmentBaseQuantities
IfcValve,,Qto_ValveBaseQuantities
IfcValveType,,Qto_ValveBaseQuantities
IfcVibrationIsolator,,Qto_VibrationIsolatorBaseQuantities
IfcVibrationIsolatorType,,Qto_VibrationIsolatorBaseQuantities
IfcWall,,Qto_WallBaseQuantities
IfcWallType,,Qto_WallBaseQuantities
IfcWasteTerminal,,Qto_WasteTerminalBaseQuantities
IfcWasteTerminalType,,Qto_WasteTerminalBaseQuantities
IfcWindow,,Qto_WindowBaseQuantities
IfcWindowType,,Qto_WindowBaseQuantities
